type	study.phs_accession	sample.sample_id	file_id	file_name	file_type	file_size	md5sum	experimental_strategy_and_data_subtypes	entityId	file_description	file_url_in_cds	submission_version	checksum_value	checksum_algorithm	crdc_id	file_mapping_level	release_datetime	is_supplementary_file
file	phs002371	HTA11_999999040_1		11991-NM-0006_S1_L005_R1_001.fastq.gz	FASTQ	2943911224	822d79de3a0ab824b7328d75e64d10cf	WXS; RNA-Seq	syn68381363									
file	phs002371	HTA11_999999040_1		11991-NM-0006_S1_L005_R2_001.fastq.gz	FASTQ	2985268181	07b4c338d92b0ebdb2b699a73061b90a	WXS; RNA-Seq	syn68381377									
file	phs002371	HTA11_999999043_2		11991-NM-0007_S1_L005_R1_001.fastq.gz	FASTQ	2367334211	e9ee546bac917e28e76ab18c34c8725e	WXS; RNA-Seq	syn68380817									
file	phs002371	HTA11_999999043_2		11991-NM-0007_S1_L005_R2_001.fastq.gz	FASTQ	2412409766	c9d0f3231250a764c3ac6d2532a483c4	WXS; RNA-Seq	syn68380838									
file	phs002371	HTA11_999999043_1		11991-NM-0008_S1_L005_R1_001.fastq.gz	FASTQ	2469351721	3e31a520c1a0a612f46ae6a9c0bf59e3	WXS; RNA-Seq	syn68381384									
file	phs002371	HTA11_999999043_1		11991-NM-0008_S1_L005_R2_001.fastq.gz	FASTQ	2499706579	37f4058bf3eb8662ed35fb3e288c8b82	WXS; RNA-Seq	syn68381395									
file	phs002371	HTA11_999999053_2		11991-NM-0009_S1_L005_R1_001.fastq.gz	FASTQ	2092752472	1c2f98b5077cfda98da75c48e372a201	WXS; RNA-Seq	syn68380845									
file	phs002371	HTA11_999999053_2		11991-NM-0009_S1_L005_R2_001.fastq.gz	FASTQ	2138331359	59c0249024b3a3bebf2581bc67168de4	WXS; RNA-Seq	syn68380851									
file	phs002371	HTA11_999999053_1		11991-NM-0010_S1_L005_R1_001.fastq.gz	FASTQ	2221048201	a8b72633881a78d098c23c6c1cdd9cca	WXS; RNA-Seq	syn68381406									
file	phs002371	HTA11_999999053_1		11991-NM-0010_S1_L005_R2_001.fastq.gz	FASTQ	2261015910	cc59785e61b8813115079e1a01b32a32	WXS; RNA-Seq	syn68381421									
file	phs002371	HTA11_999999060_2		11991-NM-0011_S1_L005_R1_001.fastq.gz	FASTQ	2374168889	5057eae0ad81398a71294e5f12bd9af8	WXS; RNA-Seq	syn68380924									
file	phs002371	HTA11_999999060_2		11991-NM-0011_S1_L005_R2_001.fastq.gz	FASTQ	2445887407	a8d6455add77138fb6e7929ab16a8480	WXS; RNA-Seq	syn68380930									
file	phs002371	HTA11_999999060_1		11991-NM-0012_S1_L005_R1_001.fastq.gz	FASTQ	4380609509	0f0c7ee1b15036e67b5b829bd42bcb3a	WXS; RNA-Seq	syn68381451									
file	phs002371	HTA11_999999060_1		11991-NM-0012_S1_L005_R2_001.fastq.gz	FASTQ	4467688803	955ee9ef60d40d2c4e8d50a6876ca63c	WXS; RNA-Seq	syn68381462									
